year,level,course,sex,enrolment_preu
1993,Pre-University 2,Commerce,MF,1205.0
1993,Pre-University 2,Commerce,F,842.0
1993,Pre-University 2,Commerce,M,363.0
1993,Pre-University 2,Science,MF,157.0
1993,Pre-University 2,Science,F,64.0
1993,Pre-University 2,Science,M,93.0
1993,Pre-University 3,Arts,MF,288.0
1993,Pre-University 3,Arts,F,199.0
1993,Pre-University 3,Arts,M,89.0
1993,Pre-University 3,Commerce,MF,1458.0
1993,Pre-University 3,Commerce,F,998.0
1993,Pre-University 3,Commerce,M,460.0
1993,Pre-University 3,Science,MF,170.0
1993,Pre-University 3,Science,F,69.0
1993,Pre-University 3,Science,M,101.0
1994,Junior College 1,Arts,MF,1297.0
1994,Junior College 1,Arts,F,906.0
1994,Junior College 1,Arts,M,391.0
1994,Junior College 1,Commerce,MF,2175.0
1994,Junior College 1,Commerce,F,1586.0
1994,Junior College 1,Commerce,M,589.0
1994,Junior College 1,Science,MF,6094.0
1994,Junior College 1,Science,F,2531.0
1994,Junior College 1,Science,M,3563.0
1994,Junior College 2,Arts,MF,1419.0
1994,Junior College 2,Arts,F,1041.0
1994,Junior College 2,Arts,M,378.0
1994,Junior College 2,Commerce,MF,2003.0
1994,Junior College 2,Commerce,F,1511.0
1994,Junior College 2,Commerce,M,492.0
1994,Junior College 2,Science,MF,6212.0
1994,Junior College 2,Science,F,2664.0
1994,Junior College 2,Science,M,3548.0
1994,Pre-University 1,Arts,MF,110.0
1994,Pre-University 1,Arts,F,71.0
1994,Pre-University 1,Arts,M,39.0
1994,Pre-University 1,Commerce,MF,840.0
1994,Pre-University 1,Commerce,F,574.0
1994,Pre-University 1,Commerce,M,266.0
